"SampleID","HBG2","STMN2","PRG2","S100A2","PSG5","Cluster"
"SRR1275051",14.8514371947099,-1,-1,-1,-1,"C0"
"SRR1275052",10.1513342267244,-1,-1,-1,-1,"C0"
"SRR1275053",10.0574458043714,-1,-1,-1,-1,"C0"
"SRR1275054",13.9593028033845,-1,-1,-1,-1,"C0"
"SRR1275055",14.001353555682,-1,-1,-1,-1,"C0"
"SRR1275056",14.9196160590766,-1,-1,-1,-1,"C0"
"SRR1275057",15.0194626278908,-1,-1,-1,-1,"C0"
"SRR1275058",14.4827155295397,-1,4.52912128839622,-1,-1,"C0"
"SRR1275059",14.6581282196151,-1,5.77495832829804,-1,-1,"C0"
"SRR1275060",13.7465868949352,-1,-1,-1,-1,"C0"
"SRR1275061",14.0563043073582,-1,-1,-1,-1,"C0"
"SRR1275062",15.2047676865981,-1,0.398240905264468,-1,-1,"C0"
"SRR1275063",15.198347614041,-1,-1,-1,-1,"C0"
"SRR1275064",13.9847290925724,-1,-1,-1,-1,"C0"
"SRR1275065",14.4084064582031,-1,-1,-1,-1,"C0"
"SRR1275066",15.1028758109726,-1,-1,-1,-1,"C0"
"SRR1275067",15.111017676011,-1,-1,-1,-1,"C0"
"SRR1275068",14.0835804454082,-1,-1,-1,-1,"C0"
"SRR1275069",14.1622746873092,-1,-1,-1,-1,"C0"
"SRR1275070",14.7655407548173,-1,-1,-1,-1,"C0"
"SRR1275071",14.9655248512435,-1,-1,-1,-1,"C0"
"SRR1275072",13.4102404174617,-0.325358570914176,4.6579829188982,-1,-1,"C0"
"SRR1275073",13.552710134977,-1,4.94725470096803,-1,-1,"C0"
"SRR1275074",15.2730391805306,-1,1.25803643817501,-1,-1,"C0"
"SRR1275075",15.5283667082207,-1,-1,-1,-1,"C0"
"SRR1275076",15.5985435931477,-1,-1,-1,-1,"C0"
"SRR1275077",15.7009025672493,-1,-1,-1,-1,"C0"
"SRR1275078",15.232608882026,-1,-1,-1,-1,"C0"
"SRR1275079",15.2113435279515,-1,-1,-1,-1,"C0"
"SRR1275080",15.0502284658268,-1,0.480265122054463,-1,-1,"C0"
"SRR1275081",15.1470979195015,-1,-1,-1,-1,"C0"
"SRR1275082",13.7242769336774,-1,-1,-1,-1,"C0"
"SRR1275083",13.9546769862463,-1,-1,-1,-1,"C0"
"SRR1275084",15.8987381001813,-1,1.02595012360846,-1,-1,"C0"
"SRR1275085",15.9641612214893,-1,-1,-1,-1,"C0"
"SRR1275086",15.1915674197025,-1,-1,-1,-1,"C0"
"SRR1275088",-1,-1,-1,-1,-1,"C5"
"SRR1275089",-1,-1,-1,-1,-1,"C5"
"SRR1275090",-1,-1,-1,-1,-1,"C5"
"SRR1275091",-1,-1,-1,-1,-1,"C5"
"SRR1275092",-1,-1,-1,-1,-1,"C5"
"SRR1275093",-1,-1,-1,-1,-1,"C5"
"SRR1275094",-1,-1,-1,-1,-1,"C5"
"SRR1275095",-1,-1,-1,-1,-1,"C5"
"SRR1275096",-1,-1,-1,-1,-1,"C5"
"SRR1275097",-1,-1,-1,-1,-1,"C5"
"SRR1275098",-1,-1,-1,-1,-1,"C5"
"SRR1275099",-1,-1,-1,-1,-1,"C5"
"SRR1275100",-1,-1,-1,-1,-1,"C5"
"SRR1275101",-1,-1,-1,-1,-1,"C5"
"SRR1275102",-1,-1,-1,-1,-1,"C5"
"SRR1275103",-1,-1,-1,-1,-1,"C5"
"SRR1275104",-1,-1,-1,-1,-1,"C5"
"SRR1275105",-1,-1,-1,-1,-1,"C5"
"SRR1275106",-1,-1,-1,-1,-1,"C5"
"SRR1275107",-1,-1,-1,-1,-1,"C5"
"SRR1275108",-1,-1,-1,-1,-1,"C5"
"SRR1275109",-1,-1,-1,-1,-1,"C5"
"SRR1275110",-1,-0.530947590145311,-1,-1,-1,"C5"
"SRR1275111",-1,-1,-1,-1,-1,"C5"
"SRR1275112",-1,-1,-1,-1,-1,"C5"
"SRR1275113",-1,-1,-1,-1,-1,"C5"
"SRR1275114",-1,-1,-1,-1,-1,"C5"
"SRR1275115",-1,-1,-1,-1,-1,"C5"
"SRR1275116",-1,-1,-1,4.39719372575455,-1,"C5"
"SRR1275117",-1,-1,-1,-1,-1,"C5"
"SRR1275118",-1,-1,-1,-1,-1,"C5"
"SRR1275119",-1,-1,-1,-1,-1,"C5"
"SRR1275120",15.4257368385512,-1,-1,-1,-1,"C0"
