Symbol,logFC,P.Value,adj.P.Val
MIR24-2,0.690442422484451,5.19829090128573e-08,1.81808492809464e-07
GATA2,0.690391964112804,2.63442974575732e-14,2.23488855718821e-13
CSNK2A1,0.690379705674454,9.58127411163984e-14,7.45307958650849e-13
TMEM194A,0.690260159981797,4.40425809108853e-15,4.32262044769394e-14
ZBTB8A,0.689969788682713,7.68626265580934e-07,2.29112064293311e-06
BMS1P5,0.689948141279736,3.18145838555365e-07,1.00212981899525e-06
MIR3179-1,0.689586718720662,0.081951461685493,0.111636554808816
CPSF7,0.689577577940759,1.45556951454172e-16,1.81707331627787e-15
IKBKG,0.688426496214964,9.02502258290902e-13,6.09671514680168e-12
PSEN1,0.688410846936866,4.24864487934677e-15,4.18441250077534e-14
SNORA66,0.688235056991283,0.11431558956066,0.150978880260175
TRIM16L,0.688148321749822,1.25675419684823e-16,1.58802608276999e-15
NARS,0.688095445402561,7.98016672546141e-17,1.04082818354898e-15
AMZ2P1,0.687913288065952,2.74045317841202e-07,8.70277156913327e-07
USP37,0.687819454226568,1.12071622833535e-09,4.87579576650659e-09
APLF,0.687703143753493,0.00451309601357242,0.00782029411500212
PRKCD,0.687270965045605,4.49045468301223e-12,2.73864837637376e-11
ARPC3P2,0.687079483356748,0.190800754092562,0.239020328994299
KDM5B,0.687005326509453,2.96405648245168e-16,3.51202064335247e-15
ZNF655,0.686511806448326,2.93045013922734e-14,2.47699454398726e-13
CLN8,0.686098123698538,4.31557065377934e-09,1.73835327091289e-08
PRR4,0.685728543621364,7.18156568039037e-05,0.000164051993076499
ATP6V1E1,0.685355302406142,6.92300013875308e-16,7.7310291543487e-15
SCGB1B2P,0.685304521855763,0.178191485771957,0.224871887860907
NFKBIE,0.685071798800048,1.09126656384391e-09,4.75655430704464e-09
CD101,0.684642810832125,0.042380492857762,0.061298124001472
ZNF350,0.684290219089267,6.25301355257661e-07,1.88612504600943e-06
CEP170,0.683981317747614,4.90396424373352e-13,3.44126828218017e-12
ZBTB11,0.683899905156738,7.53254861840474e-13,5.15387816262216e-12
MRPS24,0.683635956639209,0.000535755946763992,0.00108243028030214
ELL,0.683601347792493,5.0876758728781e-11,2.67260718485631e-10
RBM5,0.683453142561943,5.36303819237756e-14,4.34592634041448e-13
FOLR1,0.683203320356274,1.28608627094803e-19,2.75835165914032e-18
ST3GAL1,0.6830973058913,1.87517576109849e-14,1.63163052452631e-13
HIST2H2AA3,0.682800181067524,1.48909670091923e-08,5.58426243696834e-08
KLC2,0.682233119612591,2.03205118551955e-13,1.50769785014783e-12
SYNGAP1,0.681634636949641,3.69787437377626e-10,1.71147212759975e-09
CRY2,0.681618595274935,4.81959784882988e-11,2.54253225888738e-10
HELQ,0.681596498532193,2.57156565023122e-09,1.06698220367341e-08
MIR635,0.681384221022383,0.0684347022319063,0.094810524061419
STAG1,0.681013123044008,5.76197549699679e-14,4.65100473421508e-13
IRX3,0.680916638010168,0.00721363605267636,0.0120786765564444
COPB1,0.680849351895668,2.5929891928314e-17,3.69198873766169e-16
SNORD12,0.680846036498584,0.0548695024975381,0.0774483070862458
AGO3,0.680549992714259,2.33973636759223e-11,1.28684846323012e-10
PCGF1,0.68028880160255,1.76421562425874e-10,8.59870575442845e-10
ARHGAP23,0.679857534944784,9.68185031085011e-16,1.04912980286991e-14
ABCC11,0.679838063287384,0.153375267753639,0.196684205338676
ZNF160,0.679758930362397,1.42174708477753e-10,7.0213360270492e-10
THRAP3,0.67974905048977,4.1383838149791e-16,4.79685338273015e-15
RBM15B,0.679644806784363,4.3564725218021e-15,4.27797338574012e-14
RLIM,0.679626409583564,1.0216278762015e-14,9.29741228351736e-14
PRKAB1,0.679475677405525,3.85523435033627e-11,2.06062110185166e-10
SLC22A15,0.679399113034417,5.85160421051076e-06,1.55603080718361e-05
VPS37A,0.679249197511087,9.57538867037291e-14,7.45161144210481e-13
TTLL1,0.678996906111708,0.0163726470388816,0.0256799931273829
FAM50A,0.678986174057143,6.3077325174684e-16,7.11213059047647e-15
PLK1S1,0.678747291068039,8.12172193846133e-12,4.78875841471187e-11
AGAP2,0.67852307716039,0.171528649601014,0.217198924605184
TMEM27,0.67851890285871,0.142809998564896,0.184493848565366
RHOQ,0.677766497443041,2.28858578243236e-10,1.09427044158477e-09
C19orf52,0.677357439701127,1.53480811445928e-08,5.74528090726893e-08
FAM35EP,0.677235110696029,0.140569556979617,0.181927324698708
WDR45B,0.677095167813389,1.87029165819156e-15,1.93658310696524e-14
SCAND2P,0.677093311411296,1.22791192116966e-07,4.09260056987843e-07
IRS2,0.676797874622102,4.82734851833381e-15,4.69828311669481e-14
FXR2,0.676755324233847,3.74876557225786e-15,3.71646237956074e-14
IKBKGP1,0.676477420931601,1.48270290179597e-11,8.43805089577808e-11
SMG9,0.67642791017303,8.03954990057372e-13,5.4826612164981e-12
FAM117A,0.67628298937114,0.217498039415194,0.268529972086671
DRP2,0.675993399042139,3.31805367541791e-05,7.93050713457552e-05
LINC00909,0.675938643513494,4.98747918387175e-06,1.33866124753747e-05
ETF1,0.675860223972614,5.14137902430484e-17,6.9488776109495e-16
